"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Baseline Perp.","Doppler","GroupID"
"S1A_IW_SLC__1SDV_20170317T172511_20170317T172539_015735_019E70_BE19","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15735","88","173","2017-03-17T17:25:39.000000","2017-03-17T17:25:11.000000","SLC","2017-03-17T17:25:11.000000","2017-03-17T17:25:39.000000","53.8507","5.1233","54.438015","2.908204","52.822903","3.479087","54.848782","6.857777","53.229671","7.276781","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170317T172511_20170317T172539_015735_019E70_BE19.zip","4001.2199668884277","None","None","None","0","S1A_IWDV_0173_0178_015735_088"
"S1A_IW_SLC__1SDV_20170317T172447_20170317T172514_015735_019E70_700D","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15735","88","168","2017-03-17T17:25:14.000000","2017-03-17T17:24:47.000000","SLC","2017-03-17T17:24:47.000000","2017-03-17T17:25:14.000000","52.3673","5.5683","52.957695","3.432648","51.341518","3.977086","53.364758","7.242454","51.745396","7.647525","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170317T172447_20170317T172514_015735_019E70_700D.zip","4393.7283754348755","None","None","None","0","S1A_IWDV_0168_0173_015735_088"
"S1A_IW_SLC__1SDV_20170317T172422_20170317T172449_015735_019E70_317B","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15735","88","163","2017-03-17T17:24:49.000000","2017-03-17T17:24:22.000000","SLC","2017-03-17T17:24:22.000000","2017-03-17T17:24:49.000000","50.8829","5.9975","51.476307","3.934677","49.858452","4.455856","51.880283","7.615431","50.25996","8.008407","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170317T172422_20170317T172449_015735_019E70_317B.zip","4574.8709325790405","None","None","None","0","S1A_IWDV_0163_0168_015735_088"
"S1B_IW_SLC__1SDV_20170316T173229_20170316T173256_004737_008457_D7FE","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","4737","161","170","2017-03-16T17:32:56.000000","2017-03-16T17:32:29.000000","SLC","2017-03-16T17:32:29.000000","2017-03-16T17:32:56.000000","53.0163","3.3265","53.603809","1.170419","51.994453","1.723068","54.009537","5.015024","52.396702","5.424499","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170316T173229_20170316T173256_004737_008457_D7FE.zip","3707.101366043091","None","None","None","0","S1B_IWDV_0170_0175_004737_161"
"S1B_IW_SLC__1SDV_20170316T173204_20170316T173231_004737_008457_EAB0","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","4737","161","165","2017-03-16T17:32:31.000000","2017-03-16T17:32:04.000000","SLC","2017-03-16T17:32:04.000000","2017-03-16T17:32:31.000000","51.5321","3.7613","52.122322","1.680172","50.512108","2.208245","52.524818","5.392501","50.911873","5.789037","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170316T173204_20170316T173231_004737_008457_EAB0.zip","4193.196925163269","None","None","None","0","S1B_IWDV_0165_0170_004737_161"
"S1B_IW_SLC__1SDV_20170315T054106_20170315T054133_004715_0083B0_4B6D","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","4715","139","421","2017-03-15T05:41:33.000000","2017-03-15T05:41:06.000000","SLC","2017-03-15T05:41:06.000000","2017-03-15T05:41:33.000000","51.2907","7.7631","51.884502","9.847162","52.28846","6.127347","50.265469","9.320678","50.66684","5.732283","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170315T054106_20170315T054133_004715_0083B0_4B6D.zip","4578.244173049927","None","None","None","0","S1B_IWDV_0421_0426_004715_139"
"S1B_IW_SLC__1SDV_20170315T054041_20170315T054108_004715_0083B0_CCB5","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","4715","139","416","2017-03-15T05:41:08.000000","2017-03-15T05:40:41.000000","SLC","2017-03-15T05:40:41.000000","2017-03-15T05:41:08.000000","52.7744","8.2013","53.365067","10.361814","53.772778","6.506585","51.747261","9.810933","52.151627","6.098819","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170315T054041_20170315T054108_004715_0083B0_CCB5.zip","4465.477368354797","None","None","None","0","S1B_IWDV_0416_0421_004715_139"
"S1A_IW_SLC__1SDV_20170314T055003_20170314T055030_015684_019CEF_899A","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15684","37","422","2017-03-14T05:50:30.000000","2017-03-14T05:50:03.000000","SLC","2017-03-14T05:50:03.000000","2017-03-14T05:50:30.000000","51.1823","5.6883","51.77499","7.77712","52.181293","4.04702","50.155632","7.251367","50.559361","3.65261","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170314T055003_20170314T055030_015684_019CEF_899A.zip","4563.720856666565","None","None","None","0","S1A_IWDV_0422_0427_015684_037"
"S1A_IW_SLC__1SDV_20170314T054938_20170314T055005_015684_019CEF_9D9B","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15684","37","417","2017-03-14T05:50:05.000000","2017-03-14T05:49:38.000000","SLC","2017-03-14T05:49:38.000000","2017-03-14T05:50:05.000000","52.6668","6.1198","53.256332","8.283045","53.665813","4.421006","51.638798","7.733531","52.044964","4.01432","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170314T054938_20170314T055005_015684_019CEF_9D9B.zip","4295.023530960083","None","None","None","0","S1A_IWDV_0417_0422_015684_037"
"S1A_IW_SLC__1SDV_20170314T054913_20170314T054940_015684_019CEF_0F64","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15684","37","411","2017-03-14T05:49:40.000000","2017-03-14T05:49:13.000000","SLC","2017-03-14T05:49:13.000000","2017-03-14T05:49:40.000000","54.1501","6.5684","54.736443","8.813151","55.149822","4.807558","53.119999","8.236512","53.529228","4.386664","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170314T054913_20170314T054940_015684_019CEF_0F64.zip","3709.333151817322","None","None","None","0","S1A_IWDV_0411_0417_015684_037"
"S1B_IW_SLC__1SDV_20170313T055741_20170313T055808_004686_0082D0_8008","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","4686","110","423","2017-03-13T05:58:08.000000","2017-03-13T05:57:41.000000","SLC","2017-03-13T05:57:41.000000","2017-03-13T05:58:08.000000","50.8073","3.5395","51.398575","5.625603","51.807945","1.897161","49.778881","5.104382","50.185799","1.505623","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170313T055741_20170313T055808_004686_0082D0_8008.zip","4401.504905700684","None","None","None","0","S1B_IWDV_0423_0428_004686_110"
"S1B_IW_SLC__1SDV_20170313T055716_20170313T055743_004686_0082D0_8E7D","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","4686","110","418","2017-03-13T05:57:43.000000","2017-03-13T05:57:16.000000","SLC","2017-03-13T05:57:16.000000","2017-03-13T05:57:43.000000","52.2919","3.968","52.880138","6.127676","53.292637","2.268496","51.262001","5.5832","51.671322","1.865005","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170313T055716_20170313T055743_004686_0082D0_8E7D.zip","3817.3445224761963","None","None","None","0","S1B_IWDV_0418_0423_004686_110"
"S1B_IW_SLC__1SDV_20170313T055651_20170313T055718_004686_0082D0_DC0A","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","4686","110","413","2017-03-13T05:57:18.000000","2017-03-13T05:56:51.000000","SLC","2017-03-13T05:56:51.000000","2017-03-13T05:57:18.000000","53.7754","4.4118","54.360565","6.651612","54.776772","2.651164","52.743614","6.080805","53.155827","2.233975","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170313T055651_20170313T055718_004686_0082D0_DC0A.zip","3562.489698410034","None","None","None","0","S1B_IWDV_0413_0418_004686_110"
"S1A_IW_SLC__1SDV_20170312T171654_20170312T171721_015662_019C40_936A","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15662","15","172","2017-03-12T17:17:21.000000","2017-03-12T17:16:54.000000","SLC","2017-03-12T17:16:54.000000","2017-03-12T17:17:21.000000","53.6442","7.2607","54.231476","5.046554","52.61536","5.613534","54.643322","8.997679","53.023342","9.413702","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170312T171654_20170312T171721_015662_019C40_936A.zip","4132.320885658264","None","None","None","0","S1A_IWDV_0172_0177_015662_015"
"S1A_IW_SLC__1SDV_20170312T171629_20170312T171656_015662_019C40_8B45","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15662","15","167","2017-03-12T17:16:56.000000","2017-03-12T17:16:29.000000","SLC","2017-03-12T17:16:29.000000","2017-03-12T17:16:56.000000","52.16","7.7034","52.750027","5.568293","51.133236","6.109121","53.158245","9.380236","51.538387","9.782548","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170312T171629_20170312T171656_015662_019C40_8B45.zip","4566.459308624268","None","None","None","0","S1A_IWDV_0167_0172_015662_015"
"S1A_IW_SLC__1SDV_20170312T171604_20170312T171632_015662_019C40_3D9E","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15662","15","162","2017-03-12T17:16:32.000000","2017-03-12T17:16:04.000000","SLC","2017-03-12T17:16:04.000000","2017-03-12T17:16:32.000000","50.6502","8.1419","51.269203","6.073132","49.599239","6.606973","51.673988","9.754176","50.001621","10.156788","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170312T171604_20170312T171632_015662_019C40_3D9E.zip","4781.517447471619","None","None","None","0","S1A_IWDV_0162_0167_015662_015"
"S1B_IW_SLC__1SDV_20170311T172425_20170311T172452_004664_008222_A81A","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","4664","88","172","2017-03-11T17:24:52.000000","2017-03-11T17:24:25.000000","SLC","2017-03-11T17:24:25.000000","2017-03-11T17:24:52.000000","53.5729","5.2","54.155827","2.99211","52.548145","3.555763","54.568066","6.933378","52.956532","7.347575","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170311T172425_20170311T172452_004664_008222_A81A.zip","3716.6404962539673","None","None","None","0","S1B_IWDV_0172_0177_004664_088"
"S1B_IW_SLC__1SDV_20170311T172400_20170311T172427_004664_008222_5D07","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","4664","88","167","2017-03-11T17:24:27.000000","2017-03-11T17:24:00.000000","SLC","2017-03-11T17:24:00.000000","2017-03-11T17:24:27.000000","52.0892","5.6419","52.675228","3.512287","51.066143","4.050285","53.083885","7.315405","51.471737","7.716168","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170311T172400_20170311T172427_004664_008222_5D07.zip","4437.944850921631","None","None","None","0","S1B_IWDV_0167_0172_004664_088"
"S1B_IW_SLC__1SDV_20170311T172335_20170311T172402_004664_008222_215E","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","4664","88","162","2017-03-11T17:24:02.000000","2017-03-11T17:23:35.000000","SLC","2017-03-11T17:23:35.000000","2017-03-11T17:24:02.000000","50.6049","6.0706","51.194099","4.013603","49.583107","4.528882","51.599545","7.687788","49.986202","8.076802","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170311T172335_20170311T172402_004664_008222_215E.zip","4597.562568664551","None","None","None","0","S1B_IWDV_0162_0167_004664_088"
"S1A_IW_SLC__1SDV_20170310T173320_20170310T173347_015633_019B5D_8D7D","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15633","161","172","2017-03-10T17:33:47.000000","2017-03-10T17:33:20.000000","SLC","2017-03-10T17:33:20.000000","2017-03-10T17:33:47.000000","53.5659","3.1646","54.152481","0.955395","52.537777","1.520656","54.564236","4.897835","52.945702","5.312998","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170310T173320_20170310T173347_015633_019B5D_8D7D.zip","3535.5217475891113","None","None","None","0","S1A_IWDV_0172_0177_015633_161"
"S1A_IW_SLC__1SDV_20170310T173255_20170310T173322_015633_019B5D_993C","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15633","161","167","2017-03-10T17:33:22.000000","2017-03-10T17:32:55.000000","SLC","2017-03-10T17:32:55.000000","2017-03-10T17:33:22.000000","52.0821","3.6057","52.672222","1.474726","51.055374","2.01454","53.080429","5.279029","51.460545","5.680957","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170310T173255_20170310T173322_015633_019B5D_993C.zip","3943.4647464752197","None","None","None","0","S1A_IWDV_0167_0172_015633_161"
"S1A_IW_SLC__1SDV_20170310T173231_20170310T173258_015633_019B5D_70DB","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15633","161","162","2017-03-10T17:32:58.000000","2017-03-10T17:32:31.000000","SLC","2017-03-10T17:32:31.000000","2017-03-10T17:32:58.000000","50.5978","4.0312","51.19091","1.972121","49.572281","2.48925","51.596176","5.648852","49.975216","6.039076","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170310T173231_20170310T173258_015633_019B5D_70DB.zip","4633.728558540344","None","None","None","0","S1A_IWDV_0162_0167_015633_161"
"S1A_IW_SLC__1SDV_20170309T054150_20170309T054217_015611_019AB8_9036","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15611","139","422","2017-03-09T05:42:17.000000","2017-03-09T05:41:50.000000","SLC","2017-03-09T05:41:50.000000","2017-03-09T05:42:17.000000","51.1241","7.7248","51.716991","9.809244","52.122711","6.086992","50.09782","9.284684","50.501003","5.693223","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170309T054150_20170309T054217_015611_019AB8_9036.zip","4671.624225616455","None","None","None","0","S1A_IWDV_0422_0427_015611_139"
"S1A_IW_SLC__1SDV_20170309T054125_20170309T054152_015611_019AB8_69C3","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15611","139","417","2017-03-09T05:41:52.000000","2017-03-09T05:41:25.000000","SLC","2017-03-09T05:41:25.000000","2017-03-09T05:41:52.000000","52.6081","8.1611","53.197754","10.321345","53.607132","6.464599","51.580044","9.772763","51.986141","6.05838","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170309T054125_20170309T054152_015611_019AB8_69C3.zip","4593.587288856506","None","None","None","0","S1A_IWDV_0417_0422_015611_139"
"S1A_IW_SLC__1SDV_20170309T054100_20170309T054128_015611_019AB8_E0F4","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","15611","139","412","2017-03-09T05:41:28.000000","2017-03-09T05:41:00.000000","SLC","2017-03-09T05:41:00.000000","2017-03-09T05:41:28.000000","54.0916","8.6087","54.677845","10.849969","55.091064","6.850352","53.061832","10.274622","53.470936","6.430164","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170309T054100_20170309T054128_015611_019AB8_E0F4.zip","4050.5454177856445","None","None","None","0","S1A_IWDV_0412_0417_015611_139"
"S1B_IW_SLC__1SDV_20170308T054924_20170308T054951_004613_0080A8_0838","Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","4613","37","422","2017-03-08T05:49:51.000000","2017-03-08T05:49:24.000000","SLC","2017-03-08T05:49:24.000000","2017-03-08T05:49:51.000000","51.0163","5.6584","51.606983","7.754636","52.016857","4.008116","49.987766","7.23031","50.395084","3.614984","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20170308T054924_20170308T054951_004613_0080A8_0838.zip","4634.730314254761","None","None","None","0","S1B_IWDV_0422_0427_004613_037"
